"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1315","Переход по клику на «Конструктор»","tests","Thu Aug 07 12:53:44 MSK 2025","passed","Thu Aug 07 12:53:45 MSK 2025","TestMainPage","test_main_page","",""
"","8681","Заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»","tests","Thu Aug 07 12:54:26 MSK 2025","passed","Thu Aug 07 12:54:34 MSK 2025","TestOrderFeedPage","test_order_feed","",""
"","1225","Выход из аккаунта","tests","Thu Aug 07 12:55:34 MSK 2025","passed","Thu Aug 07 12:55:35 MSK 2025","TestProfile","test_personal_account","",""
"","177","Проверка отображения модального окна с информацией об ингредиенте","tests","Thu Aug 07 12:53:50 MSK 2025","passed","Thu Aug 07 12:53:50 MSK 2025","TestMainPage","test_main_page","",""
"","983","Клик по кнопке показать/скрыть пароль делает поле активным — подсвечивает его","tests","Thu Aug 07 12:53:31 MSK 2025","passed","Thu Aug 07 12:53:32 MSK 2025","TestForgotPassword","test_forgot_password","",""
"","454","Ввод почты и клик по кнопке «Восстановить»","tests","Thu Aug 07 12:53:25 MSK 2025","passed","Thu Aug 07 12:53:26 MSK 2025","TestForgotPassword","test_forgot_password","",""
"","8137","После оформления заказа его номер появляется в разделе 'В работе'","tests","Thu Aug 07 12:55:05 MSK 2025","passed","Thu Aug 07 12:55:14 MSK 2025","TestOrderFeedPage","test_order_feed","",""
"","690","Переход в раздел «История заказов»","tests","Thu Aug 07 12:55:27 MSK 2025","passed","Thu Aug 07 12:55:28 MSK 2025","TestProfile","test_personal_account","",""
"","3161","Создание заказа","tests","Thu Aug 07 12:54:08 MSK 2025","passed","Thu Aug 07 12:54:11 MSK 2025","TestMainPage","test_main_page","",""
"","5896","При создании нового заказа счётчик 'Выполнено за сегодня' увеличивается","tests","Thu Aug 07 12:54:53 MSK 2025","passed","Thu Aug 07 12:54:59 MSK 2025","TestOrderFeedPage","test_order_feed","",""
"","1304","Клик на заказ открывает всплывающее окно с деталями","tests","Thu Aug 07 12:54:18 MSK 2025","passed","Thu Aug 07 12:54:19 MSK 2025","TestOrderFeedPage","test_order_feed","",""
"","250","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","tests","Thu Aug 07 12:53:20 MSK 2025","passed","Thu Aug 07 12:53:20 MSK 2025","TestForgotPassword","test_forgot_password","",""
"","722","Увеличение каунтера ингредиента, при добавлении его в заказ","tests","Thu Aug 07 12:54:02 MSK 2025","passed","Thu Aug 07 12:54:03 MSK 2025","TestMainPage","test_main_page","",""
"","628","Переход личный кабинет","tests","Thu Aug 07 12:55:20 MSK 2025","passed","Thu Aug 07 12:55:21 MSK 2025","TestProfile","test_personal_account","",""
"","5629","При создании нового заказа счётчик 'Выполнено за всё время' увеличивается","tests","Thu Aug 07 12:54:41 MSK 2025","passed","Thu Aug 07 12:54:47 MSK 2025","TestOrderFeedPage","test_order_feed","",""
"","266","Закрытие модального окна с информацией об ингредиенте","tests","Thu Aug 07 12:53:56 MSK 2025","passed","Thu Aug 07 12:53:57 MSK 2025","TestMainPage","test_main_page","",""
"","683","Переход по клику на «Лента заказов»","tests","Thu Aug 07 12:53:37 MSK 2025","passed","Thu Aug 07 12:53:38 MSK 2025","TestMainPage","test_main_page","",""
